person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
28,199000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,10000,9.32,0,0.05,N,10
33,75000,OWN,5.0,HOMEIMPROVEMENT,A,17000,6.54,0,0.23,N,5
36,60000,RENT,2.0,PERSONAL,A,2400,5.79,0,0.04,N,17
25,100000,MORTGAGE,3.0,MEDICAL,A,12000,5.79,0,0.12,N,2
25,29000,RENT,2.0,VENTURE,C,2500,12.84,1,0.09,N,3
27,24000,RENT,1.0,MEDICAL,C,2150,14.72,0,0.09,N,7
33,106000,MORTGAGE,2.0,EDUCATION,A,6000,8.49,0,0.06,N,8
26,50000,OWN,5.0,MEDICAL,A,3250,7.51,0,0.07,N,2
43,54000,RENT,0.0,DEBTCONSOLIDATION,A,3000,8.94,0,0.06,N,14
43,80000,MORTGAGE,3.0,PERSONAL,A,10000,,0,0.13,N,16
28,58600,OTHER,1.0,HOMEIMPROVEMENT,A,4550,8.0,0,0.08,N,8
24,28000,RENT,8.0,MEDICAL,B,1000,12.53,0,0.04,N,4
25,96000,MORTGAGE,9.0,MEDICAL,A,14000,6.03,0,0.15,N,3
29,107220,MORTGAGE,9.0,HOMEIMPROVEMENT,B,10000,,0,0.09,N,10
26,52703,MORTGAGE,5.0,MEDICAL,B,4000,11.89,1,0.06,N,4
23,16000,OWN,7.0,MEDICAL,A,6000,7.9,1,0.38,N,2
29,50000,RENT,0.0,VENTURE,B,6000,8.88,0,0.12,N,7
24,82000,RENT,8.0,EDUCATION,B,7000,10.0,0,0.09,N,4
47,75000,RENT,3.0,HOMEIMPROVEMENT,C,15000,13.48,0,0.2,Y,17
24,39000,RENT,2.0,DEBTCONSOLIDATION,D,4000,,1,0.1,Y,4
48,28000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,7500,7.74,0,0.27,N,16
22,117000,MORTGAGE,6.0,EDUCATION,D,7500,13.24,0,0.06,N,2
28,30000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,15000,,0,0.5,N,8
24,83004,RENT,4.0,PERSONAL,C,12000,13.23,0,0.14,Y,3
24,60000,RENT,4.0,EDUCATION,B,12500,11.49,0,0.21,N,2
33,74400,RENT,7.0,EDUCATION,B,3000,11.83,1,0.04,N,5
57,56650,RENT,1.0,PERSONAL,C,5000,15.96,0,0.09,N,24
